ID,Name in English,Degree of endangerment,Country,Country code alpha 3
2039,Saaroa,Critically endangered,China,CHN
2317,Saluan,Vulnerable,Indonesia,IDN
2295,Semaq Beri,Critically endangered,Malaysia,MYS
1722,Talodi,Critically endangered,Sudan,SDN
304,Wayana (Suriname),Vulnerable,Suriname,SUR
215,Wik Mungkan,Vulnerable,Australia,AUS
2355,Natsilingmiutut,Vulnerable,Canada,CAN
635,Movima,Severely endangered,Bolivia (Plurinational State of),BOL
1661,Ngombe,Definitely endangered,Central African Republic,CAF
589,Cinta Larga,Vulnerable,Brazil,BRA
2234,Dupaninan Agta,Vulnerable,Philippines,PHL
1724,Tese,Critically endangered,Sudan,SDN
1805,Bororo,Definitely endangered,Brazil,BRA
2346,Puluwat,Severely endangered,Micronesia (Federated States of),FSM
1757,Kanela Rankokamekra,Vulnerable,Brazil,BRA
1646,Saba,Definitely endangered,Chad,TCD
1807,Kurripako (Brazil),Vulnerable,Brazil,BRA
2253,Triw,Definitely endangered,Lao People's Democratic Republic,LAO
1341,Guernsey French,Severely endangered,United Kingdom of Great Britain and Northern Ireland,GBR
2344,Paafang,Severely endangered,Micronesia (Federated States of),FSM
442,Chɨlɨng,Definitely endangered,Nepal,NPL
947,Zapotec of the Valleys north,Severely endangered,Mexico,MEX
343,Cypriot Arabic,Severely endangered,Cyprus,CYP
2067,Palikur (Brazil),Vulnerable,Brazil,BRA
1196,Sanenyo,Critically endangered,India,IND
1287,Tecóatl Mazatec,Vulnerable,Mexico,MEX
1833,Xinka,Critically endangered,Guatemala,GTM
920,Ozomatlán Totonac,Critically endangered,Mexico,MEX
1126,Kāgate,Definitely endangered,Nepal,NPL
628,Maxakali,Vulnerable,Brazil,BRA
2688,Murik,Vulnerable,Papua New Guinea,PNG
1580,Pengo,Critically endangered,India,IND
1809,Marúbo,Vulnerable,Brazil,BRA
1968,Aivilingmiutut,Vulnerable,Canada,CAN
1634,Besme,Severely endangered,Chad,TCD
2605,Oirata,Definitely endangered,Indonesia,IDN
1093,Lohorung,Severely endangered,Nepal,NPL
1709,Harakmbut,Definitely endangered,Peru,PER
2416,Buyang,Severely endangered,China,CHN
2279,Dakka,Vulnerable,Indonesia,IDN
2289,Mah Meri,Severely endangered,Malaysia,MYS
588,Manjui,Definitely endangered,Argentina,ARG
588,Manjui,Definitely endangered,Bolivia (Plurinational State of),BOL
588,Manjui,Definitely endangered,Paraguay,PRY
2613,Te'un (Seram Island),Definitely endangered,Indonesia,IDN
2034,Tsou,Vulnerable,China,CHN
2614,Ujir,Definitely endangered,Indonesia,IDN
2420,White Gelao (China),Severely endangered,China,CHN
2252,Dakkang,Definitely endangered,Lao People's Democratic Republic,LAO
2359,Northern Algonquin,Vulnerable,Canada,CAN
1923,Akawaio (Brazil),Vulnerable,Brazil,BRA
1272,Huehuetlán Mazatec,Vulnerable,Mexico,MEX
1697,Trio (Brazil),Vulnerable,Brazil,BRA
2636,Savo,Definitely endangered,Solomon Islands,SLB
1830,Tektitek,Definitely endangered,Guatemala,GTM
2493,Fwâi,Vulnerable,New Caledonia (France),NCL
1855,Waimirí-Atroarí,Vulnerable,Brazil,BRA
